St  Name                           Version                        Arch   Description                                                  Licenses
ii  libgcc1:armhf                  1:4.9.2-10                     armhf  GCC support library                                          Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libgcrypt20:armhf              1.6.3-2+deb8u2                 armhf  LGPL Crypto library - runtime library                        GPL-2 LGPL
ii  libgdbm3:armhf                 1.8.3-13.1                     armhf  GNU dbm database routines (runtime version)                  GPL-2
ii  libgeoip1:armhf                1.6.2-4                        armhf  non-DNS IP-to-country resolver library                       LGPL-2
ii  libgfortran3:armhf             4.9.2-10                       armhf  Runtime library for GNU Fortran applications                 Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libglib2.0-0:armhf             2.42.1-1                       armhf  GLib library of C routines                                   LGPL
ii  libglib2.0-data                2.42.1-1                       all    Common files for GLib library                                LGPL
ii  libgmp10:armhf                 2:6.0.0+dfsg-6+rpi1            armhf  Multiprecision arithmetic library                            GPL GPL-2 GPL-3 LGPL-3
ii  libgnutls-deb0-28:armhf        3.3.8-6+deb8u3                 armhf  GNU TLS library - main runtime library                       GFDL-1.3 GPL GPL-3 LGPL LGPL-3
ii  libgnutls-openssl27:armhf      3.3.8-6+deb8u3                 armhf  GNU TLS library - OpenSSL wrapper                            GFDL-1.3 GPL GPL-3 LGPL LGPL-3
ii  libgomp1:armhf                 4.9.2-10                       armhf  GCC OpenMP (GOMP) support library                            Artistic GFDL-1.2 GPL GPL-2 GPL-3
ii  libgpg-error0:armhf            1.17-3                         armhf  library for common error values and messages in GnuPG compon GPL-2.1+
ii  libgpm2:armhf                  1.20.4-6.1                     armhf  General Purpose Mouse - shared library                       GPL-2
ii  libgssapi-krb5-2:armhf         1.12.1+dfsg-19+deb8u2          armhf  MIT Kerberos runtime libraries - krb5 GSS-API Mechanism      GPL-2
ii  libhogweed2:armhf              2.7.1-5+deb8u1                 armhf  low level cryptographic library (public-key cryptos)         GAP GPL-2 GPL-2+ LGPL-2+ LGPL-2.1+ other public-domain
ii  libicu52:armhf                 52.1-8+deb8u3                  armhf  International Components for Unicode                         unknown
ii  libident                       0.22-3                         armhf  simple RFC1413 client library - runtime                      Public Domain
ii  libidn11:armhf                 1.29-1+deb8u2                  armhf  GNU Libidn library, implementation of IETF IDN specification GAP GFDL-1.3+ GPL-3+ LGPL-2.1+ LGPL-3+ | GPL-2+
ii  libirs-export91                1:9.9.5.dfsg-9+deb8u6          armhf  Exported IRS Shared Library                                  unknown
ii  libisc-export95                1:9.9.5.dfsg-9+deb8u6          armhf  Exported ISC Shared Library                                  unknown
ii  libisc95                       1:9.9.5.dfsg-9+deb8u6          armhf  ISC Shared Library used by BIND                              unknown
ii  libisccc90                     1:9.9.5.dfsg-9+deb8u6          armhf  Command Channel Library used by BIND                         unknown
ii  libisccfg-export90             1:9.9.5.dfsg-9+deb8u6          armhf  Exported ISC CFG Shared Library                              unknown
ii  libisccfg90                    1:9.9.5.dfsg-9+deb8u6          armhf  Config File Handling Library used by BIND                    unknown
ii  libisl10:armhf                 0.12.2-2                       armhf  manipulating sets and relations of integer points bounded by 2-clause BSD LGPL-2.1+ MIT
ii  libiw30:armhf                  30~pre9-8                      armhf  Wireless tools - library                                     GPL-2 LGPL-2.1
ii  libjim0.75:armhf               0.75-1                         armhf  small-footprint implementation of Tcl - shared library       BSD-2-clause TCL
ii  libjpeg62-turbo:armhf          1:1.3.1-12                     armhf  libjpeg-turbo JPEG runtime library                           BSD-3 BSD-BY-LC-NE Expat
ii  libjson-c2:armhf               0.11-4                         armhf  JSON manipulation library - shared library                   MIT
ii  libk5crypto3:armhf             1.12.1+dfsg-19+deb8u2          armhf  MIT Kerberos runtime libraries - Crypto Library              GPL-2
ii  libkeyutils1:armhf             1.5.9-5                        armhf  Linux Key Management Utilities (library)                     GPL-2+ LGPL-2+
ii  libklibc                       2.0.4-2+rpi1                   armhf  minimal libc subset for use with initramfs                   GPL-2
ii  libkmod2:armhf                 18-3                           armhf  libkmod shared library                                       GPL-2 LGPL-2.1
ii  libkrb5-3:armhf                1.12.1+dfsg-19+deb8u2          armhf  MIT Kerberos runtime libraries                               GPL-2
ii  libkrb5support0:armhf          1.12.1+dfsg-19+deb8u2          armhf  MIT Kerberos runtime libraries - Support library             GPL-2
ii  liblapack3                     3.5.0-4                        armhf  Library of linear algebra routines 3 - shared version        BSD license
ii  libldap-2.4-2:armhf            2.4.40+dfsg-1                  armhf  OpenLDAP libraries                                           unknown
ii  liblocale-gettext-perl         1.05-8+b1                      armhf  module using libc functions for internationalization in Perl Artistic Artistic or GPL-1+ GPL-1+
ii  liblog-message-perl            0.8-1                          all    powerful and flexible message logging mechanism              Artistic Artistic or GPL-1+ GPL-1+
ii  liblog-message-simple-perl     0.10-2                         all    simplified interface to Log::Message                         Artistic Artistic or GPL-1+ GPL-1+
